"Name","FMISID","LPNN","WMO","Lat","Lon","Elevation","Groups","Started"
"Pietarsaari Leppäluoto",134250,NA,NA,63.71,22.69,0,"Mareograph",1922
"Pirkkala Tampere-Pirkkala airport",101118,1215,2944,61.42,23.62,112,"Weather",1979
"Pori airport",101044,1001,2952,61.47,21.79,12,"Weather",1945
"Pori Kaijakari",104600,NA,NA,61.62,21.39,0,"Buoy",2016
"Pori keskusta",103136,NA,NA,61.48,21.8,7,"Air quality (urban)",2006
"Pori Mäntyluoto Kallo",134266,NA,NA,61.59,21.46,0,"Mareograph",1925
"Pori Paanakedonkatu",106420,NA,NA,61.48,21.81,2,"Air quality (urban)",2016
"Pori Pastuskeri",103135,NA,NA,61.66,21.45,3,"Air quality (urban)",2012
"Pori railway station",101064,1021,2926,61.48,21.78,9,"Weather",2008
"Pori Tahkoluoto harbour",101267,2013,2751,61.63,21.38,3,"Weather",1996
"Porvoo Emäsalo",101023,417,2991,60.2,25.63,19,"Weather",1974
"Porvoo Emäsalo Vaarlahti",100669,NA,NA,60.21,25.63,0,"Mareograph",2014
"Porvoo Harabacka",101028,422,2759,60.39,25.61,22,"Weather",2006
"Porvoo Kalbådagrund",101022,416,2987,59.99,25.6,0,"Weather",1977
"Porvoo Kilpilahti harbour",100683,424,2994,60.3,25.55,2,"Weather",2014
"Porvoo Mustijoki",103139,NA,NA,60.36,25.57,10,"Air quality (urban)",1991
"Porvoo Nyby",103140,NA,NA,60.32,25.5,20,"Air quality (urban)",2011
"Porvoo Svartbäck",103141,NA,NA,60.29,25.51,15,"Air quality (urban)",2013
"Posio Raistakka",101881,6703,NA,65.98,28.17,260,"Precipitation",1968
"Pöytyä Yläne",101093,1130,NA,60.87,22.39,53,"Precipitation",1975
"Pudasjärvi airfield",101805,5507,2866,65.4,26.96,120,"Weather",1999
"Pudasjärvi Jaurakkajärvi",101812,5607,NA,65.16,27.65,135,"Precipitation",1968
"Pudasjärvi Sarakylä",101877,6604,NA,65.79,27.33,162,"Precipitation",1968
"Puolanka Kotila",101830,5715,NA,64.67,28.03,280,"Precipitation",1992
"Puolanka Paljakka",101831,5716,2859,64.66,28.06,341,"Weather",2009
"Puumala parish",150168,2708,2718,61.52,28.18,98,"Weather",2012
"Pyhäjärvi Hiidenniemi",101706,4413,NA,63.61,25.47,140,"Precipitation",1992
"Pyhäjärvi Ojakylä",101705,4412,2738,63.74,25.71,152,"Weather",1990
"Raahe keskusta",103147,NA,NA,64.68,24.48,3,"Air quality (urban)",2005
"Raahe Lapaluoto",100540,NA,NA,64.67,24.41,0,"Mareograph",1922
"Raahe Lapaluoto",103145,NA,NA,64.67,24.42,11,"Air quality (urban)",1982
"Raahe Lapaluoto harbour",101785,5311,2872,64.67,24.41,2,"Weather",1990
"Raahe Merikatu",103146,NA,NA,64.68,24.47,20,"Air quality (urban)",2009
"Raahe Nahkiainen",101775,5201,2800,64.61,23.9,0,"Weather",1997
"Rääkkylä village",101450,2810,NA,62.31,29.63,97,"Precipitation",1971
"Raasepori Jussarö",100965,215,2757,59.82,23.57,17,"Weather",1990
